id,name,ears,furColor,eyeColor,dob,status,description,breed,regNum,mainImageSrcValue,isHidden,isAdminHidden,createdAt,updatedAt
17,Merida,Straight,Black Tabby,Green,June 8th, 2022,Available,,Scottish Straight Shorthair,,/catPictures/kittenLuciaMerida.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
18,Bentley,Straight,Blue Colorpoint,Blue,June 19th, 2022,Available,,Scottish Straight Shorthair,,/catPictures/kittenIrisBentley.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
19,Nola,No Preference,,Unknown,,Sold,,,,/catPictures/kittenIrisNola.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
20,Pearl,No Preference,,Unknown,,Sold,,,,/catPictures/kittenIrisPearl.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
21,Ivy,No Preference,,Unknown,,Sold,,,,/catPictures/kittenIrisIvy.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
22,Honey,Straight,Black Golden Shaded,Green,July 25th, 2022,Reserved,,Scottish Straight Shorthair,,/catPictures/7-25litter/kittenFelisiyaHoneyReserved.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
23,Grant,Straight,Black Golden Shell,Green,July 25th, 2022,Reserved,,Scottish Straight Shorthair,,/catPictures/7-25litter/kittenFelisiyaGrantReserved.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
24,Goji,Fold,Black Silver Shaded,Green,July 25th, 2022,Available,,Scottish Fold Shorthair,,/catPictures/7-25litter/kittenFelisiyaGoji.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
25,TBD1,Fold,Silver Chinchilla Point,Blue,July 25th, 2022,Available,,Scottish Fold Shorthair,,/catPictures/7-25litter/kittenFelisiyaTBD1.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
26,TBD2,Straight,Silver Chinchilla Point,Blue,July 25th, 2022,Available,,Scottish Straight Shorthair,,/catPictures/7-25litter/kittenFelisiyaTBD2.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
27,TBD3,Straight,Silver Chinchilla Point,Blue,July 25th, 2022,Available,,Scottish Straight Shorthair,,/catPictures/7-25litter/kittenFelisiyaTBD3.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
1,,Fold,,Unknown,,,,,,,,,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
2,,Fold,,Unknown,,,,,,,,,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
3,,Fold,,Unknown,,,,,,,,,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
1,sussy,,,,,,,,,,,,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
2,chris,,,,,,,,,,,,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
3,samuel,,,,,,,,,,,,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
4,jack,,,,,,,,,,,,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
5,TEST1,,,,,,,,,,,,Tue Apr 25 2023 17:41:13 GMT-0400 (Eastern Daylight Time),Tue Apr 25 2023 17:41:13 GMT-0400 (Eastern Daylight Time)
1,Iris,Straight,Blue Gold,Green,August 3rd, 2020,Available,Iris is our 2 year old retiree. She is a very affectionate and loyal girl. She loves to be pet and wants to be the only cat in the house. It's important for her to find a household where she is the only cat. She will be ready for pickup in September, 2022. She will be spayed and will have up to date vaccinations,Scottish Straight Shorthair,,/catPictures/sellIris.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
2,Twix,Straight,Black Silver Spotted,Copper,November 25th, 2020,Available,Twix is our 21 month old retiree. She is the friendliest cat I've ever had. She loves to be pet and loves the company of other animals. She will be spayed and have up to date vaccinations.,Scottish Straight Shorthair,,/catPictures/sellTwix.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
1,Artemis,Fold,Gold Chinchilla,Green,July 18th, 2018,Active,,Scottish Fold Shorthair,,/catPictures/studArtemis.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
2,Cupid,Fold,Chocolate Shaded Chinchilla Point,Blue,November 18th, 2021,Active,,Scottish Fold Shorthair,,/catPictures/studCupid.jpg,false,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
3,Brooklyn,Fold,Blue,Copper,August, 2018,Active,,Scottish Fold Shorthair,,/catPictures/studBrooklyn.jpg,true,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
4,Pompano,Straight,Black Marble Tabby,Copper,December, 2017,Active,,Scottish Straight Shorthair,,/catPictures/studPompano.jpg,true,false,Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time),Fri Mar 31 2023 02:11:07 GMT-0400 (Eastern Daylight Time)
